# Lambda (Å), Efficiency
4.809999999999999609e+00,9.217638708080602150e-01
4.820000000000000284e+00,9.217189108408393450e-01
4.830000000000000071e+00,9.216722589146373323e-01
4.839999999999999858e+00,9.215980539802053340e-01
4.849999999999999645e+00,9.215243134387729462e-01
4.860000000000000320e+00,9.214177689366238599e-01
4.870000000000000107e+00,9.212257675028375781e-01
4.879999999999999893e+00,9.210349847724139671e-01
4.889999999999999680e+00,9.209446428177940902e-01
4.899999999999999467e+00,9.209647060492476278e-01
4.910000000000000142e+00,9.209846472050341459e-01
4.919999999999999929e+00,9.208736367049291660e-01
4.929999999999999716e+00,9.206941933869606798e-01
4.939999999999999503e+00,9.205158733092480006e-01
4.950000000000000178e+00,9.205229405531345499e-01
4.959999999999999964e+00,9.205711220108434567e-01
4.969999999999999751e+00,9.206190153909594720e-01
4.979999999999999538e+00,9.205703047959127305e-01
4.990000000000000213e+00,9.205183083965724489e-01
5.000000000000000000e+00,9.204602712557669042e-01
5.009999999999999787e+00,9.203419670396759678e-01
5.019999999999999574e+00,9.202243841534785140e-01
5.030000000000000249e+00,9.201401474621746512e-01
5.040000000000000036e+00,9.201798153793897539e-01
5.049999999999999822e+00,9.202192495443093367e-01
5.059999999999999609e+00,9.202308910511669549e-01
5.070000000000000284e+00,9.201801427418396795e-01
5.080000000000000071e+00,9.201296965779917070e-01
5.089999999999999858e+00,9.200381965715916932e-01
5.099999999999999645e+00,9.198818305907177084e-01
5.110000000000000320e+00,9.197264080312455015e-01
5.120000000000000107e+00,9.196424308438301276e-01
5.129999999999999893e+00,9.196447615063764180e-01
5.139999999999999680e+00,9.196470785615864507e-01
5.149999999999999467e+00,9.195894876504385751e-01
5.160000000000000142e+00,9.194718317930592466e-01
5.169999999999999929e+00,9.193548729034953793e-01
5.179999999999999716e+00,9.191960287548347486e-01
5.189999999999999503e+00,9.190000137352001275e-01
5.200000000000000178e+00,9.188051699065886702e-01
5.209999999999999964e+00,9.186936787149840855e-01
5.219999999999999751e+00,9.186528023890774275e-01
5.229999999999999538e+00,9.186121620995865156e-01
5.240000000000000213e+00,9.186261700364611871e-01
5.250000000000000000e+00,9.186872963369665523e-01
5.259999999999999787e+00,9.187480783563033437e-01
5.269999999999999574e+00,9.186857193025952384e-01
5.280000000000000249e+00,9.185074109382443952e-01
5.290000000000000036e+00,9.183301471250601145e-01
5.299999999999999822e+00,9.181925172048486239e-01
5.309999999999999609e+00,9.180984987746034776e-01
5.320000000000000284e+00,9.180050195590445661e-01
5.330000000000000071e+00,9.179701531492500122e-01
5.339999999999999858e+00,9.180166626388042150e-01
5.349999999999999645e+00,9.180629138974277792e-01
5.360000000000000320e+00,9.180634090331477593e-01
5.370000000000000107e+00,9.179765115502022121e-01
5.379999999999999893e+00,9.178901063239033320e-01
5.389999999999999680e+00,9.177983761601329338e-01
5.399999999999999467e+00,9.176897140740943870e-01
5.410000000000000142e+00,9.175816667445040320e-01
5.419999999999999929e+00,9.174641812073002223e-01
5.429999999999999716e+00,9.172853576647038709e-01
5.439999999999999503e+00,9.171075539380256769e-01
5.450000000000000178e+00,9.169327392003748800e-01
5.459999999999999964e+00,9.169375545067586231e-01
5.469999999999999751e+00,9.169423434467480760e-01
5.479999999999999538e+00,9.169471062126431926e-01
5.490000000000000213e+00,9.168848655070617193e-01
5.500000000000000000e+00,9.168125142118498383e-01
5.509999999999999787e+00,9.167405621428190710e-01
5.519999999999999574e+00,9.166603594590343462e-01
5.530000000000000249e+00,9.165769072158321817e-01
5.540000000000000036e+00,9.164939140031007625e-01
5.549999999999999822e+00,9.163850913814765020e-01
5.559999999999999609e+00,9.162524354965495554e-01
5.570000000000000284e+00,9.161205125003598626e-01
5.580000000000000071e+00,9.159909928131518830e-01
5.589999999999999858e+00,9.158657948272445060e-01
5.599999999999999645e+00,9.157412839191784171e-01
5.610000000000000320e+00,9.156312008932572244e-01
5.620000000000000107e+00,9.156494132626764593e-01
5.629999999999999893e+00,9.156675290270941403e-01
5.639999999999999680e+00,9.156855488680548660e-01
5.649999999999999467e+00,9.157197987780739679e-01
5.660000000000000142e+00,9.157565453357959795e-01
5.669999999999999929e+00,9.157930990982851016e-01
